state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime
15,1,0,2,15,8,1,3,2,8,3,1,48,2,3,62,1,39,2,14,0,1,8,2,0,15,1,0,2,15,15,1,3,2,7,15,1,0,2,15
15,2,0,3,15,8,2,3,0,8,3,2,6,1,1,14,2,2,2,15,0,2,0,1,0,15,2,0,1,15,7,2,2,1,15,15,2,0,2,15
15,3,0,3,15,8,0,24,3,8,1,1,6,3,3,15,2,0,3,15,0,1,8,3,0,15,1,0,3,15,15,1,0,3,15,15,2,0,3,15
15,3,0,3,15,8,3,45,0,8,3,3,24,1,1,15,3,7,2,14,0,3,20,1,0,15,3,0,1,15,15,3,0,3,15,15,3,0,2,15
15,3,0,0,15,8,0,27,0,8,1,1,57,0,1,14,2,25,0,14,0,1,80,0,0,15,1,0,0,15,15,3,0,0,15,15,2,0,0,15
15,0,0,3,15,8,0,78,0,8,1,0,6,3,1,14,0,0,3,14,0,0,16,1,0,15,0,0,2,15,15,0,18,1,14,15,0,0,3,15
15,3,0,3,15,8,0,81,0,8,1,3,36,0,1,14,3,8,3,14,0,1,76,1,0,15,2,32,1,47,14,1,9,1,15,15,3,0,3,15
15,3,20,3,7,8,0,90,0,8,1,0,45,3,1,14,3,42,2,7,0,1,7,1,0,47,1,32,3,15,15,1,0,1,15,15,3,15,1,7
7,3,20,3,7,8,0,90,0,8,1,3,21,3,1,7,2,18,2,14,0,1,4,1,0,15,3,0,3,15,15,1,0,1,15,7,1,23,1,7
7,3,22,0,7,8,0,78,0,8,1,3,81,3,1,14,2,6,2,14,0,1,4,1,0,15,3,0,3,15,15,1,0,1,15,7,1,2,3,7
7,0,22,0,7,8,0,90,0,8,1,3,81,2,1,14,2,1,2,14,0,1,4,1,0,15,3,0,3,15,15,1,0,1,15,7,3,6,3,7
7,0,13,1,15,8,0,93,0,8,1,2,72,2,1,14,2,1,0,12,0,1,0,1,0,15,3,0,3,15,15,1,0,1,15,7,3,20,0,7
15,1,0,1,15,8,0,56,0,14,1,2,12,0,3,12,0,0,1,15,0,1,4,1,0,15,3,0,3,15,15,1,0,1,15,7,0,38,3,6
15,1,0,2,15,14,0,31,2,14,3,0,10,2,3,15,1,16,2,12,0,1,4,2,0,15,3,0,2,15,15,1,0,2,15,6,3,28,2,7
15,2,2,2,7,14,2,23,0,14,3,2,34,0,3,12,2,10,0,12,0,2,0,1,0,15,2,0,1,15,15,2,0,1,15,7,2,16,1,14
7,2,2,0,15,14,0,8,0,14,3,0,11,1,7,12,0,21,1,8,0,1,4,1,0,15,1,0,1,15,15,1,48,0,47,14,1,8,1,14
15,0,0,0,15,14,0,28,0,14,7,1,21,0,7,8,1,60,0,8,0,1,0,0,0,15,1,0,0,15,47,0,0,0,15,14,1,3,0,7
15,0,0,1,15,14,0,32,1,62,7,0,13,1,7,8,0,18,1,8,0,0,24,1,0,15,0,0,1,15,15,0,48,1,47,7,0,2,1,7
15,1,0,0,15,62,1,26,2,62,7,1,28,0,3,8,1,57,1,8,0,1,72,1,0,15,1,0,3,15,47,1,48,0,63,7,1,13,2,15
15,0,0,0,15,62,2,51,2,62,3,0,16,0,3,8,1,4,0,12,0,1,16,1,0,15,3,0,3,15,63,0,56,0,63,15,2,0,2,15
15,0,0,0,15,62,2,57,1,46,3,0,52,0,3,12,0,4,2,14,0,1,4,1,0,15,3,0,3,15,63,0,56,0,63,15,2,0,2,15
15,0,0,0,15,46,1,47,1,46,3,0,52,0,3,14,2,27,0,12,0,1,0,1,0,15,3,0,3,15,63,0,48,3,63,15,2,0,2,15
15,0,0,0,15,46,1,9,2,14,3,0,35,1,7,12,0,20,0,12,0,1,4,1,0,15,3,13,1,7,63,3,56,3,63,15,2,0,2,15
15,0,0,3,15,14,2,0,3,14,7,1,23,3,7,12,0,44,3,12,0,1,4,3,0,7,1,22,3,7,63,3,16,3,15,15,2,0,3,15
15,3,0,0,15,14,3,3,2,14,7,3,1,1,7,12,3,10,1,46,0,3,16,1,0,7,3,16,3,7,15,3,0,3,15,15,3,0,2,15
15,0,0,0,15,14,2,21,2,14,7,1,22,1,7,46,1,27,2,14,0,1,60,1,0,7,3,24,2,7,15,3,0,3,15,15,2,12,0,7
15,0,0,0,15,14,2,2,2,14,7,1,6,0,3,14,2,2,2,14,0,1,16,0,0,7,2,23,2,7,15,3,0,3,15,7,0,0,2,15
15,0,0,0,15,14,2,1,1,14,3,0,8,0,3,14,2,18,2,14,0,0,8,0,0,7,2,3,1,7,15,3,0,3,15,15,2,0,2,15
15,0,0,2,15,14,1,0,2,14,3,0,48,2,3,14,2,0,2,12,0,0,96,2,0,7,1,1,2,7,15,3,0,2,15,15,2,0,2,15
15,2,0,1,15,14,2,0,1,14,3,2,50,0,3,12,2,0,0,12,0,2,93,0,4,7,2,1,1,7,15,2,0,3,15,15,2,0,2,15
15,1,0,1,15,14,1,2,1,14,3,0,9,0,23,12,0,21,1,8,4,0,27,0,4,7,1,3,1,7,15,3,0,3,15,15,2,0,2,15
15,1,0,1,15,14,1,1,1,14,23,0,33,1,55,8,1,57,1,8,4,0,64,3,6,7,1,1,1,7,15,3,0,3,15,15,2,0,2,15
15,1,0,1,15,14,1,3,1,14,55,1,33,1,55,8,1,12,0,12,6,3,32,1,14,7,1,2,1,7,15,3,0,3,15,15,2,0,2,15
15,1,0,1,15,14,1,1,1,14,55,1,49,0,51,12,0,12,0,12,14,1,33,3,6,7,1,3,1,7,15,3,0,3,15,15,2,0,2,15
15,1,0,1,15,14,1,0,1,14,51,0,40,3,19,12,0,46,0,12,6,3,26,3,6,7,1,2,2,3,15,3,0,3,15,15,2,0,2,15
15,1,0,1,15,14,1,0,0,15,19,3,28,3,19,12,0,30,1,44,6,3,69,0,4,3,2,0,2,3,15,3,0,3,15,15,2,0,2,15
15,1,0,2,15,15,0,0,2,15,19,3,76,2,3,44,1,27,2,62,4,0,72,2,0,3,2,0,2,3,15,3,0,2,15,15,2,0,2,15
15,2,0,1,15,15,2,0,0,15,3,2,46,0,3,62,2,48,1,46,0,2,28,0,0,3,2,3,0,7,15,2,0,3,15,15,2,0,2,15
15,1,0,0,15,15,0,1,0,15,3,0,6,0,3,46,1,57,0,46,0,0,40,0,0,7,0,6,0,7,15,3,0,0,15,15,2,0,0,15
15,0,0,1,15,15,0,40,1,63,3,0,50,0,3,46,0,3,2,14,0,0,91,0,4,7,0,28,0,7,15,0,0,2,15,15,0,0,2,15
15,1,0,0,15,63,1,56,0,63,3,0,13,0,55,14,2,27,0,46,4,0,87,0,6,7,0,27,0,7,15,2,0,0,15,15,2,40,0,47
15,0,32,1,31,63,0,48,2,63,55,0,29,0,55,46,0,52,2,46,6,0,14,2,15,7,0,31,0,7,15,0,0,3,15,47,0,56,2,47
31,1,16,3,31,63,2,56,3,63,55,0,23,3,55,46,2,38,3,62,15,2,24,3,63,7,0,26,3,15,15,3,0,3,15,47,2,48,3,47
31,3,48,0,31,63,3,56,3,31,55,3,35,3,55,62,3,55,3,44,63,3,56,0,47,15,3,0,1,15,15,3,10,3,15,47,3,56,1,47
31,0,16,1,15,31,3,8,0,15,55,3,52,1,7,44,3,42,2,14,47,0,8,0,15,15,1,5,0,7,15,3,6,1,7,47,1,16,0,15
15,1,0,2,15,15,0,12,2,14,7,1,38,2,3,14,2,41,2,12,15,0,0,2,15,7,0,3,2,7,7,1,11,2,7,15,0,0,2,15
15,2,0,1,15,14,2,16,2,14,3,2,8,0,3,12,2,4,0,12,15,2,56,1,63,7,2,11,1,15,7,2,0,2,15,15,2,16,1,47
15,1,0,1,15,14,2,4,2,14,3,0,12,0,3,12,0,24,1,8,63,1,48,2,47,15,1,0,1,15,15,2,0,2,15,47,1,56,1,47
15,1,0,1,15,14,2,0,2,14,3,0,34,1,7,8,1,63,1,8,47,2,32,0,15,15,1,1,1,15,15,2,0,2,15,47,1,8,3,15
15,1,0,1,15,14,2,0,2,14,7,1,17,1,23,8,1,15,0,12,15,0,53,3,45,15,1,2,0,7,15,2,2,2,14,15,3,0,3,15
15,1,0,1,15,14,2,0,2,14,23,1,54,1,23,12,0,14,0,12,45,3,45,3,47,7,0,6,0,7,14,2,0,2,15,15,3,0,3,15
