state,action,reward,sprime,aprime
49,8,0.000000,8,49
113,5,0.000000,5,113
49,6,0.000000,8,97
97,8,0.000000,8,97
81,8,0.000000,2,113
113,2,0.000000,2,113
113,2,0.000000,3,113
113,3,0.000000,1,17
17,1,0.000000,5,25
33,4,0.000000,5,97
97,5,0.000000,1,65
65,1,0.000000,1,65
65,1,0.000000,9,97
97,9,0.000000,8,32
32,8,0.000000,8,32
32,8,0.000000,2,32
32,2,0.000000,0,112
112,0,0.000000,1,112
112,1,0.000000,1,16
16,1,0.000000,7,0
0,7,0.000000,1,40
40,1,0.000000,7,32
32,7,0.000000,9,128
128,9,0.000000,2,33
33,2,0.000000,7,137
137,7,0.000000,1,129
129,1,0.000000,7,17
17,7,0.000000,1,129
129,1,0.000000,9,33
33,9,0.000000,4,128
128,4,0.000000,8,32
64,8,0.000000,6,112
112,6,0.000000,6,112
81,2,0.000000,2,81
81,2,0.000000,7,81
17,2,0.000000,2,17
17,2,0.000000,4,129
129,4,0.000000,4,25
25,4,0.000000,8,17
17,8,0.000000,7,65
65,7,0.000000,7,65
65,7,0.000000,0,113
113,0,0.000000,6,129
129,6,0.000000,6,129
129,6,0.000000,5,1
1,5,0.000000,6,81
81,6,0.000000,6,81
81,6,0.000000,7,105
105,7,0.000000,6,81
81,6,0.000000,2,81
81,2,0.000000,0,129
129,0,0.000000,0,81
81,0,0.000000,0,17
17,0,0.000000,8,1
1,8,0.000000,8,1
1,8,0.000000,0,1
1,0,1.000000,2,113
113,2,0.000000,2,113
113,2,0.000000,0,1
1,0,0.000000,5,17
17,5,0.000000,2,25
25,2,0.000000,8,1
1,8,0.000000,9,105
105,9,0.000000,2,16
16,2,1.000000,3,112
112,3,0.000000,3,112
112,3,0.000000,2,16
16,2,0.000000,1,56
56,1,0.000000,1,48
48,1,0.000000,4,16
16,4,0.000000,5,32
32,5,0.000000,5,32
32,5,0.000000,4,64
64,4,0.000000,8,96
96,8,0.000000,8,96
96,8,0.000000,6,64
64,6,0.000000,0,112
112,0,0.000000,0,112
112,0,0.000000,6,80
80,6,0.000000,9,0
0,9,0.000000,2,9
9,2,0.000000,3,89
89,3,0.000000,2,81
81,2,0.000000,2,17
17,2,0.000000,5,49
49,5,0.000000,2,17
17,2,0.000000,0,17
17,0,0.000000,6,97
97,6,0.000000,0,17
17,0,0.000000,2,1
1,2,0.000000,6,81
81,6,0.000000,6,1
1,6,1.000000,7,25
25,7,1.000000,6,81
81,6,0.000000,6,81
81,6,0.000000,5,129
129,5,1.000000,1,81
81,1,0.000000,1,81
81,1,1.000000,5,97
97,5,0.000000,7,33
33,7,0.000000,7,33
33,7,0.000000,3,105
105,3,1.000000,5,129
129,5,0.000000,7,129
129,7,0.000000,1,49
49,1,0.000000,5,105
105,5,0.000000,7,129
129,7,0.000000,1,33
33,1,0.000000,2,97
97,2,0.000000,4,129
129,4,0.000000,0,33
33,0,0.000000,9,17
17,9,0.000000,1,64
64,1,0.000000,1,0
0,1,0.000000,1,0
0,1,0.000000,6,40
40,6,0.000000,3,32
32,3,0.000000,6,40
40,6,0.000000,0,80
80,0,0.000000,5,48
48,5,0.000000,8,80
80,8,0.000000,2,8
8,2,0.000000,6,96
96,6,0.000000,5,112
112,5,0.000000,8,16
16,8,0.000000,5,80
80,5,0.000000,4,96
96,4,0.000000,6,112
112,6,0.000000,5,96
96,5,0.000000,6,72
72,6,1.000000,0,80
80,0,1.000000,1,96
96,1,0.000000,0,80
80,0,0.000000,4,0
0,4,1.000000,6,32
32,6,1.000000,4,0
0,4,1.000000,0,64
64,0,0.000000,3,80
80,3,0.000000,4,64
64,4,0.000000,0,0
0,0,0.000000,2,48
48,2,0.000000,2,72
72,2,0.000000,4,8
8,4,0.000000,3,16
16,3,0.000000,3,16
16,3,0.000000,0,64
64,0,0.000000,7,48
48,7,0.000000,7,48
48,7,0.000000,8,0
0,8,0.000000,8,128
128,8,0.000000,8,128
128,8,0.000000,1,120
120,1,0.000000,7,112
112,7,0.000000,7,112
112,7,0.000000,2,32
32,2,0.000000,6,128
128,6,0.000000,6,128
128,6,0.000000,5,16
16,5,0.000000,7,80
80,7,0.000000,7,80
80,7,0.000000,2,96
96,2,0.000000,5,128
128,5,0.000000,5,136
136,5,0.000000,2,16
16,2,0.000000,5,96
96,5,0.000000,5,96
96,5,0.000000,5,24
96,5,0.000000,4,96
96,4,0.000000,4,96
96,6,0.000000,7,64
64,7,0.000000,3,72
72,3,0.000000,7,88
88,7,1.000000,0,128
128,0,0.000000,8,48
48,8,0.000000,1,128
128,1,0.000000,3,0
0,3,0.000000,5,112
112,5,0.000000,9,32
32,9,0.000000,2,49
49,2,0.000000,0,97
97,0,0.000000,0,97
97,0,0.000000,2,17
17,2,0.000000,3,1
1,3,0.000000,3,1
1,3,0.000000,4,17
17,4,0.000000,7,49
49,7,0.000000,7,49
49,7,0.000000,0,65
65,0,0.000000,5,129
129,5,0.000000,2,137
137,2,0.000000,7,1
1,7,0.000000,6,97
97,6,0.000000,3,17
17,3,0.000000,9,129
129,9,0.000000,1,80
80,1,0.000000,4,56
56,4,0.000000,4,56
56,4,0.000000,7,32
32,7,0.000000,9,64
64,9,0.000000,8,73
73,8,0.000000,2,129
129,2,0.000000,2,129
129,2,0.000000,8,113
113,8,0.000000,6,17
17,6,0.000000,6,17
17,6,0.000000,8,113
